2022-11-15 06:38:15 status half-configured openssl:amd64 1.1.1n-0+deb11u3
2022-11-15 06:38:15 status installed openssl:amd64 1.1.1n-0+deb11u3
2022-11-15 06:38:15 configure ca-certificates:all 20210119 <none>
2022-11-15 06:38:15 status unpacked ca-certificates:all 20210119
2022-11-15 06:38:15 status half-configured ca-certificates:all 20210119
2022-11-15 06:38:15 status installed ca-certificates:all 20210119
2022-11-15 06:38:15 status triggers-pending ca-certificates:all 20210119
2022-11-15 06:38:15 trigproc libc-bin:amd64 2.31-13+deb11u5 <none>
2022-11-15 06:38:15 status half-configured libc-bin:amd64 2.31-13+deb11u5
2022-11-15 06:38:15 status installed libc-bin:amd64 2.31-13+deb11u5
2022-11-15 06:38:15 trigproc ca-certificates:all 20210119 <none>
2022-11-15 06:38:15 status half-configured ca-certificates:all 20210119
2022-11-15 06:38:16 status installed ca-certificates:all 20210119
2022-11-15 06:38:18 startup packages remove
2022-11-15 06:38:18 status installed ca-certificates:all 20210119
2022-11-15 06:38:18 remove ca-certificates:all 20210119 <none>
2022-11-15 06:38:18 status half-configured ca-certificates:all 20210119
2022-11-15 06:38:18 status half-installed ca-certificates:all 20210119
2022-11-15 06:38:18 status config-files ca-certificates:all 20210119
2022-11-15 06:38:18 status installed wget:amd64 1.21-1+deb11u1
2022-11-15 06:38:18 remove wget:amd64 1.21-1+deb11u1 <none>
2022-11-15 06:38:18 status half-configured wget:amd64 1.21-1+deb11u1
2022-11-15 06:38:18 status half-installed wget:amd64 1.21-1+deb11u1
2022-11-15 06:38:18 status config-files wget:amd64 1.21-1+deb11u1
2022-11-15 06:38:18 status installed libpsl5:amd64 0.21.0-1.2
2022-11-15 06:38:18 remove libpsl5:amd64 0.21.0-1.2 <none>
2022-11-15 06:38:18 status triggers-pending libc-bin:amd64 2.31-13+deb11u5
2022-11-15 06:38:18 status half-configured libpsl5:amd64 0.21.0-1.2
2022-11-15 06:38:18 status half-installed libpsl5:amd64 0.21.0-1.2
2022-11-15 06:38:18 status config-files libpsl5:amd64 0.21.0-1.2
2022-11-15 06:38:18 status not-installed libpsl5:amd64 <none>
2022-11-15 06:38:18 status installed openssl:amd64 1.1.1n-0+deb11u3
2022-11-15 06:38:18 remove openssl:amd64 1.1.1n-0+deb11u3 <none>
2022-11-15 06:38:18 status half-configured openssl:amd64 1.1.1n-0+deb11u3
2022-11-15 06:38:18 status half-installed openssl:amd64 1.1.1n-0+deb11u3
2022-11-15 06:38:18 status config-files openssl:amd64 1.1.1n-0+deb11u3
2022-11-15 06:38:18 startup packages configure
2022-11-15 06:38:18 trigproc libc-bin:amd64 2.31-13+deb11u5 <none>
2022-11-15 06:38:18 status half-configured libc-bin:amd64 2.31-13+deb11u5
2022-11-15 06:38:18 status installed libc-bin:amd64 2.31-13+deb11u5
2022-11-15 06:38:18 startup packages purge
2022-11-15 06:38:18 purge wget:amd64 1.21-1+deb11u1 <none>
2022-11-15 06:38:18 status config-files wget:amd64 1.21-1+deb11u1
2022-11-15 06:38:19 status not-installed wget:amd64 <none>
2022-11-15 06:38:19 purge ca-certificates:all 20210119 <none>
2022-11-15 06:38:19 status config-files ca-certificates:all 20210119
2022-11-15 06:38:19 status not-installed ca-certificates:all <none>
2022-11-15 06:38:19 purge openssl:amd64 1.1.1n-0+deb11u3 <none>
2022-11-15 06:38:19 status config-files openssl:amd64 1.1.1n-0+deb11u3
2022-11-15 06:38:19 status not-installed openssl:amd64 <none>
2022-11-15 06:38:19 startup packages configure
2022-11-15 06:38:23 startup archives unpack
2022-11-15 06:38:23 install libc-l10n:all <none> 2.31-13+deb11u5
2022-11-15 06:38:23 status half-installed libc-l10n:all 2.31-13+deb11u5
2022-11-15 06:38:23 status unpacked libc-l10n:all 2.31-13+deb11u5
2022-11-15 06:38:23 install locales:all <none> 2.31-13+deb11u5
2022-11-15 06:38:23 status half-installed locales:all 2.31-13+deb11u5
2022-11-15 06:38:23 status unpacked locales:all 2.31-13+deb11u5
2022-11-15 06:38:23 startup packages configure
2022-11-15 06:38:23 configure libc-l10n:all 2.31-13+deb11u5 <none>
2022-11-15 06:38:23 status unpacked libc-l10n:all 2.31-13+deb11u5
2022-11-15 06:38:23 status half-configured libc-l10n:all 2.31-13+deb11u5
2022-11-15 06:38:23 status installed libc-l10n:all 2.31-13+deb11u5
2022-11-15 06:38:23 configure locales:all 2.31-13+deb11u5 <none>
2022-11-15 06:38:23 status unpacked locales:all 2.31-13+deb11u5
2022-11-15 06:38:23 status half-configured locales:all 2.31-13+deb11u5
2022-11-15 06:38:24 status installed locales:all 2.31-13+deb11u5
2022-11-15 06:38:30 startup archives unpack
2022-11-15 06:38:30 install xz-utils:amd64 <none> 5.2.5-2.1~deb11u1
2022-11-15 06:38:30 status half-installed xz-utils:amd64 5.2.5-2.1~deb11u1
2022-11-15 06:38:30 status unpacked xz-utils:amd64 5.2.5-2.1~deb11u1
2022-11-15 06:38:30 install libnss-wrapper:amd64 <none> 1.1.11-1
2022-11-15 06:38:30 status half-installed libnss-wrapper:amd64 1.1.11-1
2022-11-15 06:38:30 status unpacked libnss-wrapper:amd64 1.1.11-1
2022-11-15 06:38:30 install zstd:amd64 <none> 1.4.8+dfsg-2.1
2022-11-15 06:38:30 status half-installed zstd:amd64 1.4.8+dfsg-2.1
2022-11-15 06:38:30 status unpacked zstd:amd64 1.4.8+dfsg-2.1
2022-11-15 06:38:30 startup packages configure
2022-11-15 06:38:30 configure xz-utils:amd64 5.2.5-2.1~deb11u1 <none>
2022-11-15 06:38:30 status unpacked xz-utils:amd64 5.2.5-2.1~deb11u1
2022-11-15 06:38:30 status half-configured xz-utils:amd64 5.2.5-2.1~deb11u1
